fgimenez@arkham:~/Desktop/snappy_validate_image$ spread -v external-ubuntu-core:ubuntu-core-16-device-amd64
  2016/09/23 09:40:05 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/revert-sideload...
  2016/09/23 09:40:07 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network...
  2016/09/23 09:40:08 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network...
  2016/09/23 09:40:09 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network...
  2016/09/23 09:40:11 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-update-rollback-stresstest...
  2016/09/23 09:40:12 Rebooting external-ubuntu-core:ubuntu-core-16-device-amd64 as requested...
  2016/09/23 09:40:37 Rebooting external-ubuntu-core:ubuntu-core-16-device-amd64 as requested...
  2016/09/23 09:40:57 Rebooting external-ubuntu-core:ubuntu-core-16-device-amd64 as requested...
  2016/09/23 09:41:17 Rebooting external-ubuntu-core:ubuntu-core-16-device-amd64 as requested...
  2016/09/23 09:41:36 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-update-rollback-stresstest...
  2016/09/23 09:41:37 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snap-set...
  2016/09/23 09:42:52 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snap-set...
  2016/09/23 09:42:53 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snap-set...
  2016/09/23 09:42:56 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/server-snap:goServer...
  2016/09/23 09:43:03 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/server-snap:goServer...
  2016/09/23 09:43:03 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/server-snap:goServer...
  2016/09/23 09:43:05 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/server-snap:pythonServer...
  2016/09/23 09:43:09 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/server-snap:pythonServer...
  2016/09/23 09:43:09 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/server-snap:pythonServer...
  2016/09/23 09:43:11 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/enable-disable...
  2016/09/23 09:43:14 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/enable-disable...
  2016/09/23 09:43:16 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/cmdline...
  2016/09/23 09:43:16 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/cmdline...
  2016/09/23 09:43:17 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-fan...
  2016/09/23 09:43:18 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-fan...
  2016/09/23 09:43:18 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-fan...
  2016/09/23 09:43:19 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-process-control...
  2016/09/23 09:43:20 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-process-control...
  2016/09/23 09:43:21 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-process-control...
  2016/09/23 09:43:23 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/prepare-image-uboot...
  2016/09/23 09:45:50 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/prepare-image-uboot...
  2016/09/23 09:45:51 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-apparmor...
  2016/09/23 09:45:54 Rebooting external-ubuntu-core:ubuntu-core-16-device-amd64 as requested...
  2016/09/23 09:46:13 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-apparmor...
  2016/09/23 09:46:15 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-apt...
  2016/09/23 09:46:15 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-apt...
  2016/09/23 09:46:17 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snap-run-hook...
  2016/09/23 09:47:30 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snap-run-hook...
  2016/09/23 09:47:30 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snap-run-hook...
  2016/09/23 09:47:33 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network-bind...
  2016/09/23 09:47:34 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network-bind...
  2016/09/23 09:47:37 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network-bind...
  2016/09/23 09:47:39 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/refresh-devmode-production...
  2016/09/23 09:47:42 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/refresh-devmode-production...
  2016/09/23 09:47:43 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/refresh-devmode-production...
  2016/09/23 09:47:46 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network-observe...
  2016/09/23 09:47:46 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network-observe...
  2016/09/23 09:47:47 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network-observe...
  2016/09/23 09:47:48 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-service...
  2016/09/23 09:47:49 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-service...
  2016/09/23 09:47:49 Rebooting external-ubuntu-core:ubuntu-core-16-device-amd64 as requested...
  2016/09/23 09:48:08 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-service...
  2016/09/23 09:48:10 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/systemd-service...
  2016/09/23 09:48:11 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/systemd-service...
  2016/09/23 09:48:13 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/find-private...
  2016/09/23 09:48:14 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/find-private...
  2016/09/23 09:48:15 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/revert-production...
  2016/09/23 09:48:17 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/revert-production...
  2016/09/23 09:48:20 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/revert-production...
  2016/09/23 09:48:23 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/abort...
  2016/09/23 09:48:27 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/abort...
  2016/09/23 09:48:28 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-udev...
  2016/09/23 09:48:29 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-udev...
  2016/09/23 09:48:30 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-udev...
  2016/09/23 09:48:31 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/security-device-cgroups:kmsg...
  2016/09/23 09:48:32 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/security-device-cgroups:kmsg...
  2016/09/23 09:48:34 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/security-device-cgroups:uinput...
  2016/09/23 09:48:35 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/security-device-cgroups:uinput...
  2016/09/23 09:48:37 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-content...
  2016/09/23 09:48:38 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-content...
  2016/09/23 09:48:38 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-content...
  2016/09/23 09:48:40 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-grub:initrdimg...
  2016/09/23 09:48:40 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-grub:initrdimg...
  2016/09/23 09:48:42 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-grub:kernelimg...
  2016/09/23 09:48:42 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-grub:kernelimg...
  2016/09/23 09:48:44 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-grub:vmlinuz...
  2016/09/23 09:48:44 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-grub:vmlinuz...
  2016/09/23 09:48:46 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/op-remove...
  2016/09/23 09:48:47 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/op-remove...
  2016/09/23 09:48:48 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snap-download...
  2016/09/23 09:48:54 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snap-download...
  2016/09/23 09:48:55 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/searching...
  2016/09/23 09:48:56 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/searching...
  2016/09/23 09:48:57 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-snapd-control...
  2016/09/23 09:48:57 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-snapd-control...
  2016/09/23 09:49:00 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-snapd-control...
  2016/09/23 09:49:03 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/op-remove-retry...
  2016/09/23 09:49:05 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/op-remove-retry...
  2016/09/23 09:49:07 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:abort...
  2016/09/23 09:49:07 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:abort...
  2016/09/23 09:49:09 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:changes...
  2016/09/23 09:49:09 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:changes...
  2016/09/23 09:49:11 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:find...
  2016/09/23 09:49:11 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:find...
  2016/09/23 09:49:12 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:install...
  2016/09/23 09:49:12 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:install...
  2016/09/23 09:49:14 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:interfaces...
  2016/09/23 09:49:14 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:interfaces...
  2016/09/23 09:49:16 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:remove...
  2016/09/23 09:49:16 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/help:remove...
  2016/09/23 09:49:18 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/try-snap-goes-away:test_snapd_tools...
  2016/09/23 09:49:20 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/try-snap-goes-away:test_snapd_tools...
  2016/09/23 09:49:21 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/try-snap-goes-away:network_bind_consumer...
  2016/09/23 09:49:22 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/try-snap-goes-away:network_bind_consumer...
  2016/09/23 09:49:24 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/writable-areas...
  2016/09/23 09:49:24 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/writable-areas...
  2016/09/23 09:49:24 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/writable-areas...
  2016/09/23 09:49:27 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-upgrade-core...
  2016/09/23 09:49:27 Rebooting external-ubuntu-core:ubuntu-core-16-device-amd64 as requested...
  2016/09/23 09:49:47 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-upgrade-core...
  2016/09/23 09:49:48 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-create-user...
  2016/09/23 09:49:49 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-create-user...
