fgimenez@arkham:~/Desktop/snappy_validate_image$ spread -v external-ubuntu-core:ubuntu-core-16-device-arm
  2016/09/23 10:41:41 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/prepare-image-uboot...
  2016/09/23 10:44:52 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/prepare-image-uboot...
  2016/09/23 10:45:00 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/security-device-cgroups:kmsg...
  2016/09/23 10:45:14 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/security-device-cgroups:kmsg...
  2016/09/23 10:45:25 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/security-device-cgroups:uinput...
  2016/09/23 10:45:37 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/security-device-cgroups:uinput...
  2016/09/23 10:45:49 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/op-remove...
  2016/09/23 10:46:04 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/op-remove...
  2016/09/23 10:46:11 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/cmdline...
  2016/09/23 10:46:11 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/cmdline...
  2016/09/23 10:46:23 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/find-private...
  2016/09/23 10:46:27 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/find-private...
  2016/09/23 10:46:35 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/revert-sideload...
  2016/09/23 10:46:36 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/revert-sideload...
  2016/09/23 10:46:48 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/revert-sideload...
  2016/09/23 10:47:01 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/enable-disable...
  2016/09/23 10:47:19 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/enable-disable...
  2016/09/23 10:47:29 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-apt...
  2016/09/23 10:47:30 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-apt...
  2016/09/23 10:47:40 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/snap-set...
  2016/09/23 10:50:15 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/snap-set...
  2016/09/23 10:50:16 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/snap-set...
  2016/09/23 10:50:34 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/install-sideload...
  2016/09/23 10:50:36 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/install-sideload...
  2016/09/23 10:51:24 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/install-sideload...
  2016/09/23 10:51:48 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/install-store...
  2016/09/23 10:53:04 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/install-store...
  2016/09/23 10:53:18 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-mount-observe...
  2016/09/23 10:53:26 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-mount-observe...
  2016/09/23 10:53:40 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-mount-observe...
  2016/09/23 10:53:54 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-udev...
  2016/09/23 10:54:03 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-udev...
  2016/09/23 10:54:07 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-udev...
  2016/09/23 10:54:14 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/refresh-devmode-production...
  2016/09/23 10:54:27 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/refresh-devmode-production...
  2016/09/23 10:54:37 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/refresh-devmode-production...
  2016/09/23 10:54:52 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-apparmor...
  2016/09/23 10:55:04 Rebooting external-ubuntu-core:ubuntu-core-16-device-arm as requested...
  2016/09/23 10:56:21 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-apparmor...
  2016/09/23 10:56:36 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/security-profiles...
  2016/09/23 10:56:37 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/security-profiles...
  2016/09/23 10:56:50 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/security-profiles...
  2016/09/23 10:57:04 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/searching...
  2016/09/23 10:57:06 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/searching...
  2016/09/23 10:57:14 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-bluez...
  2016/09/23 10:57:36 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-bluez...
  2016/09/23 10:57:51 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-update-rollback-stresstest...
  2016/09/23 10:58:04 Rebooting external-ubuntu-core:ubuntu-core-16-device-arm as requested...
  2016/09/23 10:59:25 Rebooting external-ubuntu-core:ubuntu-core-16-device-arm as requested...
  2016/09/23 11:01:08 Rebooting external-ubuntu-core:ubuntu-core-16-device-arm as requested...
  2016/09/23 11:02:21 Rebooting external-ubuntu-core:ubuntu-core-16-device-arm as requested...
  2016/09/23 11:03:37 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-update-rollback-stresstest...
  2016/09/23 11:03:49 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/writable-areas...
  2016/09/23 11:03:50 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/writable-areas...
  2016/09/23 11:03:57 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/writable-areas...
  2016/09/23 11:04:10 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/abort...
  2016/09/23 11:04:35 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/abort...
  2016/09/23 11:04:45 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/op-remove-retry...
  2016/09/23 11:05:00 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/op-remove-retry...
  2016/09/23 11:05:07 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-network...
  2016/09/23 11:05:16 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-network...
  2016/09/23 11:05:25 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-network...
  2016/09/23 11:05:35 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-content...
  2016/09/23 11:05:44 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-content...
  2016/09/23 11:05:45 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-content...
  2016/09/23 11:05:59 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-fan...
  2016/09/23 11:06:01 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-fan...
  2016/09/23 11:06:01 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-fan...
  2016/09/23 11:06:10 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-process-control...
  2016/09/23 11:06:15 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-process-control...
  2016/09/23 11:06:19 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-process-control...
  2016/09/23 11:06:30 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/known...
  2016/09/23 11:06:31 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/known...
  2016/09/23 11:06:40 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-uboot:initrdimg...
  2016/09/23 11:06:40 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-uboot:initrdimg...
  2016/09/23 11:06:50 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-uboot:kernelimg...
  2016/09/23 11:06:51 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-uboot:kernelimg...
  2016/09/23 11:07:00 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-network-bind...
  2016/09/23 11:07:12 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-network-bind...
  2016/09/23 11:07:18 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-network-bind...
  2016/09/23 11:07:30 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/refresh-production...
  2016/09/23 11:07:43 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/refresh-production...
  2016/09/23 11:07:54 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/refresh-production...
